,id_tweet_pai,texto_reply,classificacao
0,1453868795039264777,1. O senhor nos orgulha muito,positivo
1,1453868795039264777,1. Pacheco deveria aprender com você a trabalhar e parar de oportunismo com o país @rpsenador,negativo
2,1453868795039264777,1. Se tiver a duplicação da pista em Nova Iguaçu eu já agradeço muito ministro! Ninguém merece o engarrafamento da Dutra,questionamento
3,1453868795039264777,10. Aí q bom!!!!! Amém!,positivo
4,1453868795039264777,"10. Legado de deixar orgulhoso o verdadeiro brasileiro.. Parabéns Ministro..2022 é logo ali, já escolheu entre o Senado Federal e o Executivo de SP?..precisaremos ""bombar"" na campanha, antes que o Dr Alexandre proiba..",questionamento
5,1453868795039264777,"11. Esperamos que continue assim até 2026, obras deixadas pelos esquerdalhas sendo finalizadas em todo o Brasil, parabéns.",positivo
6,1453868795039264777,11. É muito gratificante mais muito triste um volume logístico mivimentado entre duas grandes metrópole e não ter a porra de 600km de ferrovias sendo que o Brasil tem minérios em abundância deveria éra ter trens de última geração ferrovias construída com inox até banhada a ouro,questionamento
7,1453868795039264777,12. Quero ver o trecho da Rio Santos que começa próximo ao Guarujá até o centro de São Sebastião. Capricha hein rs,questionamento
8,1453868795039264777,12. Sensacional demais!!!,positivo
9,1453868795039264777,13. Fantástico!,positivo
10,1453868795039264777,"13. Ministro TGF e o Rodoanel de SP, vai sair ou vai continuar na prancheta como obra inacabada?",questionamento
11,1453868795039264777,14. Boa sorte ao senhor e ao nosso Brasil.,positivo
12,1453868795039264777,14. Ministro. Muito obrigado por tudo que tens feito pelo Brasil. Aproveito para perguntar quando efetivamente a BR470 entre Blumenau a Rio do Sul e continuação ao oeste será ou duplicada ou reparada ?,questionamento
13,1453868795039264777,"15. E como fica o trecho que vai até a Av Brasil??? Admiro seu trabalho e de sua equipe, mas já me pronunciei algumas vezes sobre o problema enfrentado por moradores da Baixada. Ministro precisa uma intervenção do DNIT urgente para finalizar as duplicações. Sucesso.",questionamento
14,1453868795039264777,15. Que beleza!!!!,positivo
15,1453868795039264777,16. Hummmmm@!! Duas perguntas Sr Ministro !! Onde será empregado essa dinheirama toda ??? Teremos algum programa social bancado com essa grana ????,questionamento
16,1453868795039264777,"16. R$ 15 bi de investimento e redução de pedagio: fruto de uma modelagem técnica que a empresa concessionária e usuários ganham, diferente das décadas de 1990 e 2000. Os benefícios serão sentidos por muitos anos, deixando legado. ""Quero fazer parte da geração que deixou legado""",positivo
17,1453868795039264777,17. E a nossa BR 470,questionamento
18,1453868795039264777,"17. Grande Ministro, que baita legado irá deixar para as próximas gerações.",positivo
19,1453868795039264777,"18. Em dia de leilão o martelinho do ministro apanha, mas só chora de emoção.",positivo
20,1453868795039264777,18. Essa faixa de romeiros tem de ter muita atenção. 19. Se pudesse existir uma ferrovia Rio-São Paulo...!,questionamento
21,1453868795039264777,"19. A Esquerda que nunca trabalhou sério, vai fazer uso de ótimas rodovias...Isso aí ministro...Essa é a resposta, TRABALHO.",positivo
22,1453868795039264777,2. Com certeza será mais um sucesso!,positivo
23,1453868795039264777,"2. Ministro e a BR 367 no vale do Jequitinhonha, alguma novidade, a 9bra ta suspensa, ha previsão de reiniciar quando??",questionamento
24,1453868795039264777,"2. Não acredito mais em nenhuma palavra desse governo, já acreditei, hj não mais!!",negativo
25,1453868795039264777,20. Em oração meu Super Ministro,positivo
26,1453868795039264777,20. e a MP das ferrovias? @rpsenador vai deixar morrer mesmo 100Bi de investimento?,questionamento
27,1453868795039264777,21. Espero que o trecho da baixada Fluminense também seja melhorado e assim acabe os congestionamentos!,questionamento
28,1453868795039264777,"21. Super Ministro, boa noite. Que vídeo lindo, amei. Que Deus lhe abençoe.",positivo
29,1453868795039264777,"22. Bahhhh, muito bacana esse tipo de vídeo! Atinge todos os públicos e idades. Objetivo, informativo e fácil entendimento. Parabéns pelo trabalho. E claro, por todo trabalho realizado para com a pátria amada!",positivo
30,1453868795039264777,22. E a BR493 RJ?,questionamento
31,1453868795039264777,"23. @tarcisiogdf Quando vc vai pegar a Avenida Brasil ?? Aquilo virou uma merda , RJ precisa",questionamento
32,1453868795039264777,"23. Sucesso. Deus o abençoe, Ministro!",positivo
33,1453868795039264777,24. E a BR-275???,questionamento
34,1453868795039264777,"24. Nesse caso se trata de rodovia estadual, tem que pedir o capricho em outro setor, por enquanto vamos aplaudir mais esse grande feito do nosso ministro",positivo
35,1453868795039264777,25. Gosto do Tarcísio. Trabalha muito e não tem tempo de ficar criando problemas e picuinhas em seu Ministério. Tem Ministro que parece só ficar focado na encrenca.,positivo
36,1453868795039264777,"25. Medida Provisória 1.065/2021, Marco Legal das Ferrovias, perderá validade na sexta-feria caso @rpsenador não prorrogue. Caso isso aconteça as 22 autorizações ferroviárias perderão eficácia.",questionamento
37,1453868795039264777,"26. >>MINISTRO TARCÍSIO, ENQUANTO ISSO A NOSSA BR 280 ESTA A PASSOS DE TARTARUGA. O ESTADO QUE O NOSSO PRESIDENTE @jairbolsonaro TEVE MAIS VOTOS EM PORCENTAGEM, FOI SC.#FechadoComBolsonaroAte2026",questionamento
38,1453868795039264777,26. Parabéns Ministro!,positivo
39,1453868795039264777,27. @jairbolsonaro pq a @secomvc não faz vídeos assim?,questionamento
40,1453868795039264777,"27. Ihuuuuuu!!! Parabéns, ministro Tarcísio. Gratidão a Deus por ter pessoas como você no governo!",positivo
41,1453868795039264777,28. Maravilha! Rio - Santos pertinho aqui de casa.,positivo
42,1453868795039264777,"28. Não esqueça da segurança, em todos os sentidos.",questionamento
43,1453868795039264777,29. Muito bom ministro.,positivo
44,1453868795039264777,"29. Quando iremos de trem? São Paulo-Rio de Janeiro em T.A.V. a 300Km/hora o trecho poderia ser feito em menos de 2hs de viagem servindo tantas cidades. Economia de tempo, dinheiro e maior flexibilização nos transportes. #ferroviasdepassageiros #tav #tgv #highspeedrail #hautevitesse",questionamento
45,1453868795039264777,3. Ministro BR 235 há algum projeto para a mesma?,questionamento
46,1453868795039264777,"3. Muito bom ministro, excelente trabalho",positivo
47,1453868795039264777,"3.Tá faltando tirar a BR-040 das mãos da @ConcerBR040 (pior empresa de concessão rodoviária do Brasil), que cobra um dos maiores pedágio do Brasil e entrega um dos piores asfaltos da nossa malha rodoviária. Lucraram rios de dinheiro e não devolveram o mínimo para os usuários...",negativo
48,1453868795039264777,"30. Estamos todos com o senhor. Ministro, com todo respeito, realmente o senhor é do CARALHO mesmo.",positivo
49,1453868795039264777,"30. Ministro está fazendo um ótimo trabalho, disso é real. Mas podes dar uma atenção a BR 470 principalmente no trecho da BR 101 até o Portonave, pois tem sido um caus.",questionamento
50,1453868795039264777,"31. Eh SP, tá chegando o JK de 100 em 1, lembras?",questionamento
51,1453868795039264777,31. Ficou ótimo esse vídeo.,positivo
52,1453868795039264777,32. Boa!,positivo
53,1453868795039264777,33. Deus abençoe grandemente o Sr Ministro Tarcisio que Jesus o ilumine sempre- avante com nosso brasil,positivo
54,1453868795039264777,34. Super parabéns e excelente resultado no leilão!!!,positivo
55,1453868795039264777,35. Ó!!! Leva a marreta de obra no lugar do martelo pra arrebentar a madeira lá na hora!!!,positivo
56,1453868795039264777,"36. Só de falar que terá 35% na redução do pedágio, dá mais alegria ainda!!! Parabéns @tarcisiogdf @jairbolsonaro",positivo
57,1453868795039264777,37. Estamos juntos!!,positivo
58,1453868795039264777,38. sempre dando show,positivo
59,1453868795039264777,39. Tem como deixar o ministro Tarcísio com cargo vitalício na infraestrutura ? O cara tá arrebentando de obra no Brasil !,positivo
60,1453868795039264777,4. Boa mestre,positivo
61,1453868795039264777,4. Parabéns pra lá e pra cá até a hora que privatizarem o que foi construído com dinheiro público. Depois fica entupido de pedágios e a gente tem de agradecer os bolsominions que dão apoio ao genocida.,negativo
62,1453868795039264777,4. Privatiza tudo!,questionamento
63,1453868795039264777,40. Que orgulho te você no governo.,positivo
64,1453868795039264777,"41. Parabéns, Ministro! Muito sucesso!",positivo
65,1453868795039264777,42. Obrigado pelo seu trabalho ministro o sr nos faz acreditar no futuro do país,positivo
66,1453868795039264777,"43. Capitão ""Asfalto""...",positivo
67,1453868795039264777,"44. Até então, boas notícias vindo de sua atuação. Parabéns!",positivo
68,1453868795039264777,45. Quanto orgulho!!,positivo
69,1453868795039264777,"46. Obrigado, Ministro. Utilizo com frequência a via Dutra e é realmente péssima. Sensação de insegurança em grande parte do trajeto, rodovia estreita, tráfego pesado de carretas. Mas acredito que agora sim vai melhorar.",positivo
70,1453868795039264777,47. Excelente!!!,positivo
71,1453868795039264777,48. Parabéns Munistro TARCISIO. O Brasil desta vez VAI DECOLAR!!!,positivo
72,1453868795039264777,49. Nao tem como não deixar esse loco trabalhando na infra por pelo menos mais 5 anos,positivo
73,1453868795039264777,"5. Dia importante tb pq se o rodrigo pacheco nao prorrogar a MP do Marco Ferroviario tdas aquelas autorizações, por hora vao pro saco!",questionamento
74,1453868795039264777,"5. O Brasil precisa de energia barata para avançar. Seja elétrica, petróleo, álcool, gás natural. Muito caro movimentar o país. Isso trava o progresso. Onde estão os carros elétricos, o incentivo a produção de biodiesel e álcool?",negativo
75,1453868795039264777,5. Parabéns Sr Ministro pelo ótimo trabalho. Que Deus continue abençoando grandemente nosso Brasil e nosso Presidente Bolsonaro,positivo
76,1453868795039264777,50. Parabéns!,positivo
77,1453868795039264777,51. O legado vai ser o maior feito desse mandato! Parabéns pelo seu caráter!,positivo
78,1453868795039264777,52. Show 53. Quem criou esse vídeo é um verdadeiro(a) artista. Ficou sensacional,positivo
79,1453868795039264777,54. Grande Ministro @tarcisiogdf,positivo
80,1453868795039264777,55. Esse é brabo...,positivo
81,1453868795039264777,56. Confiamos em Você!!!,positivo
82,1453868795039264777,57. O senhor está muito bem ministro,positivo
83,1453868795039264777,58. Parabéns Ministro Tarcísio Gomes de Freitas,positivo
84,1453868795039264777,"59. Que benção foi termos um Ministro de Infra Estrutura como o Tarcísio. Ele é uma máquina, que junto com sua equipe não para de trabalhar pelo Brasil. Gde Ministro seja muito bem vindo como governador de São Paulo.",positivo
85,1453868795039264777,"6. BR-232, por favor",questionamento
86,1453868795039264777,6. E as BRs de #SCBrasil abandonadas. Para #SC @tarcisiogdf é um enganador. Mais de 70%dos votos no #PR #BolsonaroPresidenteAte2026 @jairbolsonaro e nada de investimentos em nosso Estado.,negativo
87,1453868795039264777,6. Esses vídeos institucionais são demais! Time de Marketing e RP estão de parabéns,positivo
88,1453868795039264777,60. Vai ficar Show ministro!,positivo
89,1453868795039264777,61. BRILHANTE..,positivo
90,1453868795039264777,62. Parabéns Sr Ministro. Ótimo trabalho,positivo
91,1453868795039264777,63. Boa,positivo
92,1453868795039264777,64. Muito bom,positivo
93,1453868795039264777,"65. @tarcisiogdf a redução ofertada foi de aproximadamente 15% e não 35% como dito acima. Sou seu fã, mas neste caso aí não está correto.",positivo
94,1453868795039264777,66. UAU Voa Brasil!,positivo
95,1453868795039264777,"67. Parabens Ministro! Seu trabalho é impecável! Uma pena que governo ano que vem muda, por culpa de um BC que não sabe usar a reserva em dólar, para controlar uma pressão especulativa no câmbio, que está gerando inflação via commodities, que são cotadas em dólar!",positivo
96,1453868795039264777,68. Único ministro que faz alguma coisa neste governo de merd@,positivo
97,1453868795039264777,69. Alguns ministros trabalham.Outros parece que estão de férias prolongadas...,positivo
98,1453868795039264777,"7. @tarcisiogdf , parabéns pela arquitetura do leilão e pelas benfeitorias contidas no projeto. Mas perguntar não ofende: e duplicação da Rio>Santos de Caraguatatuba até o Guarujá? Não pensaram tb em uma nova estrada descendo ali entre Bertioga e São Sebastião, p/desafogar o afluxo?",questionamento
99,1453868795039264777,"7. AVANTEBandeira do Brasil ! Queremos vídeo pós leilão, com Min. Tarcísio batendo o martelo com a BRUTALIDADE que só ele faz!! Pra cima #SuperInfra !!",positivo
100,1453868795039264777,"70. Belíssimooooo vídeo! De uns tempos pra cá parece que aprenderam a fazer vídeos que realmente interessam e estimulem os cidadãos normais. Ficou muito bom! Parabéns pelo vídeo e pelo maravilhoso leilão de amanhã. Vai que vai, Capitão Asfalto!",positivo
101,1453868795039264777,71. Boa,positivo
102,1453868795039264777,"72. Tarcisão, grande admiração pelo seu trabalho Símbolo de aplausos Vem pra São Paulo, por favor! Precisamos de um Grande gestor como o senhor, para nosso querido estado, aceite o convite do nosso Presidente! #TarcisioGovernadorDeSP",positivo
103,1453868795039264777,"73. Parabéns Ministro!!! Homem forte do PR @jairbolsonaro q junto com o Paulo Guedes, são os dois Braços direito do Bolsonaro! Não tem espaço pra esquerda não Cara com lágrimas de alegria Dá uma passada aqui em São Gonçalo prá ajudar o Prefeito @capitaonelson. O Guedes com a economia, a gente vê depois",positivo
104,1453868795039264777,74. Seu ministério deveria ficar independente como o BC e vc continuar ai indefinidamente fazendo esse ótimo trabalho!,positivo
105,1453868795039264777,"75. Parabens ministro Tarcisio e toda a sua equipe! Vcs são fenomenais! A esquerda querendo desgastar o governo Bolsonaro, mas ao analisar o todo, o país não parou seu desenvolvimento.",positivo
106,1453868795039264777,76. Show de bola,positivo
107,1453868795039264777,77. Pra frente BRASIL,positivo
108,1453868795039264777,78. Parabéns ministro Tarcísio e equipe que Deus os abençoe muito,positivo
109,1453868795039264777,"79. A Dutra é uma das melhores rodovias do país dava pro governo mantê-la sem a concessão , mas enfim , esse lance de pedágio mais barato eu duvido",positivo
110,1453868795039264777,8. A Rio-Santos no trecho Ubatuba-Guarujá é rodovia estadual. É de competência do Estado de SP...,questionamento
111,1453868795039264777,8. Muito orgulho Ministro.,positivo
